Período;Região;Nº Total Receitas Prescritas Eletrónicas (Qt);Nº Embalagens Prescritas por DCI (CNPEM) (Qt);Nº Embalagens Prescritas por Marca por Exceção A (Qt);Nº Embalagens Prescritas por Marca por Exceção B (Qt);Nº Embalagens Prescritas por Marca por Exceção C (Qt);Nº Embalagens Prescritas Sem Necessidade de Justificação Técnica (Qt)
2016-01;ARS Algarve;306851;410129;490;917;39610;120789
2016-02;ARS Alentejo;357815;554455;686;1750;44318;162234
2016-02;ARS Lisboa e Vale do Tejo;3165838;4931140;12894;15682;324553;1102801
2016-02;ARS Norte;2924945;4058958;9783;13074;300513;1298159
2016-05;ARS Alentejo;236535;553311;690;943;46344;173814
2016-05;ARS Lisboa e Vale do Tejo;2521843;5026287;11690;11718;319372;1117585
2016-06;ARS Lisboa e Vale do Tejo;2212904;4734089;12816;11029;295360;1059109
2016-07;ARS Alentejo;189513;508652;737;839;41340;162362
2016-09;ARS Algarve;174317;424046;459;892;35902;122753
2016-09;ARS Centro;830560;2307735;6132;3882;229184;700306
2016-10;ARS Centro;845167;2358578;6079;3639;228727;736287
2016-10;ARS Norte;1709468;4402837;10499;12023;292615;1451538
2016-11;ARS Alentejo;204291;593672;621;1046;44430;189079
2016-11;ARS Lisboa e Vale do Tejo;1726673;5337451;13813;12745;299439;1205323
2016-12;ARS Alentejo;189279;515649;695;1152;34746;159291
2016-12;ARS Algarve;160377;396209;565;944;32505;112947
2016-12;ARS Centro;748118;2054828;4761;5015;190181;612463
2017-01;ARS Centro;870561;2545070;6169;4762;229924;763364
2017-02;ARS Algarve;147368;409476;461;785;30923;117706
2017-02;ARS Lisboa e Vale do Tejo;1450729;4794781;10540;10252;253649;1055795
2017-03;ARS Norte;1637399;4857171;10323;11701;299357;1536982
2017-04;ARS Centro;638270;1974303;4752;3065;177932;603942
2017-05;ARS Centro;754041;2461167;6084;3405;222810;763839
2017-05;ARS Lisboa e Vale do Tejo;1481144;5445561;13806;11445;306105;1261392
2017-07;ARS Centro;677111;2229883;6229;3183;198986;685104
2017-09;ARS Lisboa e Vale do Tejo;1384763;5216959;12769;11430;252801;1202431
2017-10;ARS Lisboa e Vale do Tejo;1508773;5577292;14000;11645;265087;1303802
2017-11;ARS Algarve;155691;472230;706;835;37566;144178
2017-11;ARS Norte;1521611;4590650;11091;11392;255500;1502833
2017-12;ARS Lisboa e Vale do Tejo;1278634;4558901;11401;11793;213592;1029038
2017-12;ARS Norte;1319434;3675783;8994;11557;208105;1154566
2018-01;ARS Algarve;181569;527723;696;940;40883;155185
2018-03;ARS Alentejo;190226;629271;664;1336;38315;208350
2018-04;ARS Lisboa e Vale do Tejo;1405880;5218653;11736;13203;241669;1213673
2018-05;ARS Alentejo;194454;647828;779;1435;42660;214836
2018-06;ARS Algarve;158796;477977;813;898;38884;149802
2018-06;ARS Norte;1406740;4264328;9679;11278;242346;1382434
2018-08;ARS Centro;645424;2164255;3919;4681;151316;650427
2018-08;ARS Lisboa e Vale do Tejo;1198617;4445127;9710;11822;173010;1048828
2018-11;ARS Alentejo;188558;657084;752;1165;41491;220222
2018-11;ARS Algarve;161479;491752;749;809;39233;152362
2018-11;ARS Centro;753961;2604662;5327;5483;195954;805759
2019-01;ARS Alentejo;211607;714559;569;1355;40220;237485
2019-04;ARS Lisboa e Vale do Tejo;1426053;5367919;11179;13289;236444;1275273
2019-04;ARS Norte;1437713;4624508;8534;10717;221462;1444950
2019-07;ARS Centro;769055;2785437;5466;6009;194207;851439
2020-04;ARS Centro;572348;2371868;3619;4162;107174;700802
2020-07;ARS Algarve;157349;561602;755;374;38703;167354
2020-07;ARS Centro;697998;2741057;5165;5956;180320;835107
2020-08;ARS Centro;586135;2145375;3167;5113;133414;628440
2020-08;ARS Lisboa e Vale do Tejo;1117113;4452585;9060;13425;173050;989156
2020-10;ARS Alentejo;168836;663302;560;1262;33118;227632
2020-11;ARS Alentejo;154777;647380;725;1085;30435;219090
2020-11;ARS Lisboa e Vale do Tejo;1368475;5777185;13741;15212;272353;1338866
2021-01;ARS Algarve;143062;549967;607;1257;37765;155660
2021-02;ARS Norte;1229334;4962215;7501;9345;196761;1426647
2021-03;ARS Alentejo;165918;702980;691;1342;36273;248460
2021-03;ARS Centro;696080;2870055;4692;6195;181135;886184
2021-03;ARS Norte;1456062;5728203;9023;11313;239316;1662765
2021-06;ARS Algarve;149974;545569;710;1103;34600;156087
2021-09;ARS Lisboa e Vale do Tejo;1361065;6162058;12877;17804;280598;1415446
2021-10;ARS Algarve;164396;605549;702;1186;36157;169244
2021-11;ARS Algarve;168034;613867;738;930;40853;178451
2022-03;ARS Alentejo;183044;744906;728;1367;39044;263472
2022-05;ARS Lisboa e Vale do Tejo;1551640;6964747;13440;22202;303998;1562879
2022-06;ARS Centro;658204;2725819;3939;7198;162461;847494
2022-07;ARS Alentejo;159822;668048;659;1195;28616;231866
2022-09;ARS Norte;1525055;6186232;7588;12657;220252;1767120
2022-10;ARS Algarve;175514;652527;587;592;37099;176144
2022-11;ARS Alentejo;188287;781770;667;1319;32766;257964
2022-11;ARS Norte;1708538;6656796;8411;14258;218837;1829557
2022-12;ARS Centro;692587;2737607;3544;7878;144800;796311
2023-02;ARS Lisboa e Vale do Tejo;1433218;6390000;11172;19688;247628;1375767
2023-02;ARS Norte;1482633;5860583;7179;11223;182366;1608733
2023-03;ARS Norte;1695603;6898858;8695;12957;212005;1885176
2023-06;ARS Algarve;159329;622068;409;308;29311;163882
2023-06;ARS Lisboa e Vale do Tejo;1329383;6340789;11971;18275;252474;1391500
2023-07;ARS Centro;662968;2960384;4358;6117;155597;877178
2023-07;ARS Lisboa e Vale do Tejo;1397954;6713297;12647;18223;269420;1450300
2023-08;ARS Lisboa e Vale do Tejo;1269001;5984306;9240;16174;195638;1277239
2023-08;ARS Norte;1414392;5935669;6782;10388;158484;1568982
2023-09;ARS Algarve;168733;693649;685;404;31760;177339
2023-11;ARS Algarve;181059;777514;1678;602;37727;198723
2023-11;ARS Lisboa e Vale do Tejo;1568912;7937897;14629;23857;296889;1692852
2023-12;ARS Algarve;156323;679345;521;475;29692;161824
2023-12;ARS Centro;641074;3149920;3065;7931;149942;901588
2024-01;ARS Lisboa e Vale do Tejo;1604584;8709279;14328;24198;296281;1933228
2024-03;ARS Algarve;179287;837498;600;661;34629;203331
2024-04;ARS Centro;751331;3854553;4267;9863;180016;1130635
2024-06;ARS Centro;677609;3371903;3374;8078;169326;947419
2024-06;ARS Norte;1403345;6255459;6130;12550;184815;1605411
2024-07;ARS Norte;1557095;7490042;7446;14651;212630;1958554
2024-08;ARS Algarve;176511;757075;577;685;29689;172850
2024-09;ARS Algarve;169672;784647;317;819;30547;183491
2024-10;ARS Centro;760523;4059066;2310;9239;195548;1166325
2024-11;ARS Alentejo;165002;895679;402;1587;29240;269936
2024-11;ARS Algarve;174865;826863;523;723;32917;186289
2024-11;ARS Norte;1571183;7584554;3940;14051;212281;1952054
2024-12;ARS Alentejo;156445;817704;319;2001;24834;239895
2024-12;ARS Lisboa e Vale do Tejo;1391628;7274935;5776;19774;223629;1492320
2025-01;ARS Norte;1728772;8599686;3101;16090;221023;2145152
2025-02;ARS Norte;1551927;7834064;2537;14401;202870;1895056
2025-03;ARS Centro;705147;3835726;589;7013;167583;1034190
2025-04;ARS Norte;1464377;7479660;2219;15240;186396;1777430
2025-06;ARS Algarve;163983;785582;523;702;31494;172803
2025-06;ARS Lisboa e Vale do Tejo;1281842;7272311;4162;17683;206337;1445642
2025-07;ARS Norte;1610403;8106050;2705;14884;199802;1929266
2025-09;ARS Algarve;179852;887048;234;856;32492;193702
2016-02;ARS Algarve;304582;407184;429;1099;37810;119116
2016-04;ARS Centro;1151392;2150983;4986;5149;235111;639489
2016-04;ARS Lisboa e Vale do Tejo;2592688;4744708;11559;12890;315030;1053160
2016-06;ARS Centro;978111;2212832;6089;4075;224804;666936
2016-06;ARS Norte;1842364;3717495;9202;10538;284354;1223962
2016-07;ARS Algarve;179670;391577;446;1007;32679;112451
2016-07;ARS Lisboa e Vale do Tejo;1862158;4566558;11971;8702;271456;1015881
2016-08;ARS Algarve;194721;430592;525;1064;33763;118183
2016-08;ARS Lisboa e Vale do Tejo;1572445;4057053;9295;7881;208704;899367
2016-09;ARS Lisboa e Vale do Tejo;1759940;4996231;12478;9829;294042;1111672
2016-10;ARS Algarve;176413;435979;540;818;35393;132510
2016-10;ARS Lisboa e Vale do Tejo;1749849;5289605;12758;10643;296282;1202422
2016-12;ARS Lisboa e Vale do Tejo;1558701;4652668;10135;12770;247462;992835
2017-02;ARS Norte;1409004;4031359;8412;9815;246474;1255398
2017-03;ARS Alentejo;207717;650101;693;1098;45313;209505
2017-03;ARS Algarve;177604;500359;582;858;41823;148445
2017-03;ARS Lisboa e Vale do Tejo;1687501;5824110;14342;11865;317391;1308620
2017-04;ARS Algarve;137458;390888;448;696;30831;115665
2017-04;ARS Lisboa e Vale do Tejo;1302779;4493641;10622;9589;236826;1006251
2017-06;ARS Lisboa e Vale do Tejo;1327847;4931656;11558;10153;263151;1147160
2017-07;ARS Algarve;153599;437760;743;918;35417;130325
2017-08;ARS Alentejo;167754;549684;624;902;35645;177038
2017-08;ARS Centro;649481;2116611;4899;3279;164474;651611
2017-08;ARS Norte;1268766;3819542;7723;8512;204042;1212810
2017-09;ARS Norte;1412931;4429111;9622;9770;250970;1403696
2017-10;ARS Algarve;158310;466573;610;555;37727;145983
2017-11;ARS Centro;749277;2484797;6801;3972;201552;777728
2017-12;ARS Algarve;134709;386709;569;857;31283;115105
2018-01;ARS Norte;1694960;5134504;12726;14442;270520;1590627
2018-02;ARS Alentejo;184692;609063;687;1072;36052;195263
2018-02;ARS Lisboa e Vale do Tejo;1433901;5214131;12431;15194;234571;1201884
2018-02;ARS Norte;1424729;4352363;9972;11802;227670;1372216
2018-03;ARS Lisboa e Vale do Tejo;1483418;5476537;12459;13950;249898;1276046
2018-04;ARS Alentejo;178803;592710;717;1221;36997;197611
2018-04;ARS Algarve;152569;453946;618;921;36988;138644
2018-06;ARS Alentejo;180056;600502;696;1372;39164;199608
2018-08;ARS Alentejo;168234;561598;571;1011;34376;186115
2018-09;ARS Algarve;151722;461700;674;923;36684;136810
2018-09;ARS Centro;684139;2402445;5551;4981;183558;720255
2018-09;ARS Lisboa e Vale do Tejo;1361405;5238259;12549;12283;237878;1213970
2018-09;ARS Norte;1374238;4481222;9095;10236;231060;1401817
2018-10;ARS Algarve;174251;534555;802;816;43472;164409
2018-12;ARS Algarve;141228;412003;569;625;36445;126948
2018-12;ARS Lisboa e Vale do Tejo;1332668;4810607;10190;11994;213490;1111850
2019-02;ARS Algarve;166146;499339;731;704;40700;151540
2019-02;ARS Norte;1522707;4800716;9329;11405;228423;1477947
2019-03;ARS Alentejo;184754;622144;604;1279;37371;212354
2019-05;ARS Alentejo;201079;706175;512;1230;43338;244272
2019-05;ARS Centro;801291;2850499;5274;5999;199003;869068
2019-05;ARS Lisboa e Vale do Tejo;1620835;6323667;12459;14699;282250;1512266
2019-05;ARS Norte;1619490;5350993;9059;11860;255083;1685936
2019-06;ARS Norte;1263517;3973984;6862;9852;192955;1281581
2019-07;ARS Algarve;179077;571836;825;265;43235;175107
2019-08;ARS Norte;1303241;4261056;5790;9776;181337;1275887
2019-10;ARS Lisboa e Vale do Tejo;1769112;6725021;13146;15540;280146;1611812
2019-12;ARS Algarve;156006;469352;623;277;37033;144307
2019-12;ARS Lisboa e Vale do Tejo;1450516;5242042;10127;14059;214609;1202902
2020-03;ARS Algarve;153811;547481;695;456;35499;169842
2020-03;ARS Lisboa e Vale do Tejo;1400548;6016858;10461;13838;237543;1419959
2020-05;ARS Lisboa e Vale do Tejo;1182832;5135024;9975;12196;203489;1197652
2020-08;ARS Algarve;144931;453287;631;363;30724;121826
2020-09;ARS Lisboa e Vale do Tejo;1428908;5823095;13220;14115;268034;1319975
2020-12;ARS Lisboa e Vale do Tejo;1169338;4948822;9868;13253;232170;1127662
2021-01;ARS Alentejo;145350;644434;681;1278;31947;214091
2021-03;ARS Algarve;159688;594558;702;961;42723;175911
2021-04;ARS Alentejo;152185;635327;596;1261;30369;220413
2021-04;ARS Norte;1328108;5140199;8163;11880;213636;1519674
2021-05;ARS Algarve;153672;558754;670;931;38874;161882
2021-05;ARS Centro;658125;2662070;4576;5926;172482;831603
2021-06;ARS Alentejo;152161;633511;584;1203;29448;211356
2021-07;ARS Algarve;155201;564638;627;934;34706;155528
2021-07;ARS Lisboa e Vale do Tejo;1299947;5900796;12497;16573;270645;1348935
2021-07;ARS Norte;1378368;5360619;8373;12066;214234;1518824
2021-08;ARS Norte;1250754;4826113;6734;10500;171806;1346335
2021-09;ARS Centro;670999;2819985;4811;6533;171836;874374
2022-01;ARS Centro;661601;2833924;4585;7041;173521;869502
2022-01;ARS Norte;1391112;5598963;8068;11852;214233;1580176
2022-02;ARS Lisboa e Vale do Tejo;1306136;5993726;11520;18565;266511;1374367
2022-02;ARS Norte;1339624;5432048;8097;11417;210366;1558575
2022-03;ARS Algarve;176035;667902;551;466;42766;189458
2022-03;ARS Norte;1615804;6444226;8731;13705;242377;1834479
2022-05;ARS Alentejo;180297;744648;613;1247;33999;256063
2022-05;ARS Norte;1584881;6130103;8189;12951;224787;1756116
2022-07;ARS Centro;664103;2780702;4511;7048;154150;849977
2022-08;ARS Algarve;174644;626131;584;473;35878;173366
2022-08;ARS Norte;1367738;5385037;6285;10198;174291;1513351
2022-09;ARS Alentejo;168346;717065;724;1094;33763;248117
2022-11;ARS Lisboa e Vale do Tejo;1654517;7374650;14553;23417;299204;1588715
2022-12;ARS Lisboa e Vale do Tejo;1392700;6021343;9921;19532;237096;1259881
2023-02;ARS Alentejo;170796;702144;609;972;27562;226787
2023-04;ARS Lisboa e Vale do Tejo;1342484;6186661;11020;17866;237041;1332824
2023-05;ARS Alentejo;191890;857117;680;1226;31087;281949
2023-05;ARS Lisboa e Vale do Tejo;1633209;7799412;14868;22785;308371;1698505
2023-06;ARS Norte;1378173;5523358;7470;10455;180694;1534779
2023-07;ARS Algarve;170864;653016;531;460;31192;164815
2023-09;ARS Lisboa e Vale do Tejo;1422238;6973822;12999;19676;281819;1485223
2023-10;ARS Algarve;173681;696689;601;322;31298;174545
2023-10;ARS Centro;724924;3286567;4732;6370;170068;974504
2023-10;ARS Lisboa e Vale do Tejo;1537426;7356065;13347;21068;293063;1571202
2023-12;ARS Alentejo;155018;832600;557;1155;22284;257966
2024-01;ARS Alentejo;187646;1111941;885;1906;34096;343439
2024-08;ARS Norte;1333846;6228678;4700;11501;148704;1545676
2024-10;ARS Alentejo;177837;1003050;556;1592;30974;304819
2025-03;ARS Alentejo;171550;987305;198;1863;29085;288931
2025-04;ARS Alentejo;158050;903389;116;1590;27035;263322
2025-04;ARS Lisboa e Vale do Tejo;1378589;7899190;4251;18464;221439;1575031
2025-05;ARS Algarve;165443;829084;206;808;32779;182033
2025-05;ARS Norte;1412809;7348102;2276;14203;189887;1729919
2025-06;ARS Centro;624884;3392365;624;6165;151517;881359
2025-06;ARS Norte;1343883;6432432;2002;13600;171152;1500361
2025-09;ARS Alentejo;160035;910165;103;1221;25791;263560
2025-10;ARS Alentejo;175812;972123;80;2252;29727;292912
2025-10;ARS Centro;757656;4214738;621;6831;184613;1132809
2025-10;ARS Norte;1718577;8709974;2211;16099;216936;2160434
2016-01;ARS Norte;3031685;4188975;9990;12767;313459;1341150
2016-03;ARS Norte;3056979;4363318;9819;12362;316219;1371906
2016-04;ARS Algarve;245951;395139;415;988;36295;115979
2016-05;ARS Centro;1096510;2285185;5852;4466;239934;675454
2016-06;ARS Alentejo;210282;537938;690;881;44813;169369
2016-07;ARS Norte;1713421;3854154;9893;10958;273217;1224275
2017-01;ARS Algarve;179656;475692;577;1099;37273;135729
2017-01;ARS Norte;1728060;4779363;10085;12933;285745;1469289
2017-02;ARS Alentejo;176180;542380;515;884;36712;171442
2017-02;ARS Centro;710848;2133869;4910;3586;195962;652738
2017-03;ARS Centro;839234;2581112;6453;4245;237529;798693
2017-04;ARS Alentejo;163381;515761;525;804;36413;167129
2017-08;ARS Lisboa e Vale do Tejo;1186981;4327827;9908;8910;188304;1015846
2017-09;ARS Centro;702018;2357714;6472;3803;196450;720905
2017-11;ARS Alentejo;181861;606781;658;933;40780;204243
2017-11;ARS Lisboa e Vale do Tejo;1496026;5529846;15213;12497;265969;1302949
2018-01;ARS Alentejo;210649;692468;770;1212;42076;221922
2018-01;ARS Centro;847761;2777731;7501;5567;211966;829617
2018-05;ARS Lisboa e Vale do Tejo;1517007;5718220;14108;14308;272963;1327302
2018-06;ARS Lisboa e Vale do Tejo;1405754;5317629;12769;12899;249851;1252504
2018-07;ARS Centro;721681;2479918;5620;5207;194560;749382
2018-07;ARS Norte;1445266;4625073;9317;10353;244793;1450252
2018-08;ARS Norte;1284762;3978224;6987;9397;188066;1240323
2018-11;ARS Lisboa e Vale do Tejo;1526052;5757339;13735;13525;260165;1367275
2018-11;ARS Norte;1522111;4794583;10145;11252;243413;1549103
2018-12;ARS Centro;643038;2108593;4479;5564;157575;644105
2018-12;ARS Norte;1293527;3792788;7725;10402;197669;1210648
2019-01;ARS Lisboa e Vale do Tejo;1715257;6324602;12988;14369;280970;1459213
2019-02;ARS Lisboa e Vale do Tejo;1480357;5513744;12338;13446;243320;1287682
2019-04;ARS Alentejo;175231;591928;669;1131;36875;203239
2019-04;ARS Algarve;159149;484942;608;430;39142;149030
2019-05;ARS Algarve;176817;559443;936;315;46743;175981
2019-06;ARS Alentejo;163726;589525;525;1006;36376;202960
2019-06;ARS Centro;653196;2292098;4368;5563;166112;709800
2019-07;ARS Alentejo;186440;687402;633;1200;39238;236005
2019-08;ARS Centro;643463;2254690;3048;5166;139024;662904
2019-09;ARS Algarve;165006;522769;572;323;38524;156303
2019-09;ARS Centro;713821;2566396;4294;5379;170500;777627
2019-10;ARS Alentejo;203274;727372;711;1309;39070;249258
2019-11;ARS Centro;754836;2624246;5541;5937;172167;816234
2020-02;ARS Centro;724658;2490115;4545;6025;162367;771406
2020-02;ARS Norte;1513398;4978380;8861;13572;216265;1477542
2020-03;ARS Alentejo;179389;720052;594;1141;34021;236684
2020-04;ARS Lisboa e Vale do Tejo;1127490;5138772;8848;9557;157549;1224832
2020-05;ARS Centro;608980;2404962;4200;4680;150579;718311
2020-07;ARS Lisboa e Vale do Tejo;1375839;6003106;14312;13276;264730;1400599
2020-08;ARS Norte;1211352;4257723;6415;8347;167616;1188988
2020-09;ARS Alentejo;165684;658850;720;936;33979;218575
2020-09;ARS Centro;695237;2675569;4673;6432;177907;807814
2020-10;ARS Lisboa e Vale do Tejo;1520416;6134322;13397;15608;274082;1439085
2020-11;ARS Centro;662236;2641919;4578;5724;166412;821890
2020-12;ARS Algarve;128981;454058;612;621;33725;133713
2020-12;ARS Norte;1189565;4382854;6673;9409;189535;1261921
2021-01;ARS Centro;615216;2587126;3901;5797;163347;778133
2021-04;ARS Algarve;146121;545876;781;1082;34433;157144
2021-04;ARS Lisboa e Vale do Tejo;1273903;5548396;12365;18077;275708;1369448
2021-05;ARS Alentejo;160208;653006;589;1050;33221;226293
2021-05;ARS Lisboa e Vale do Tejo;1341465;5829902;12606;18541;289171;1436822
2021-06;ARS Centro;629270;2524254;4444;5962;162336;785113
2021-06;ARS Norte;1286188;4804702;7111;11654;199342;1406589
2021-08;ARS Alentejo;147562;613065;534;1072;28505;206405
2021-08;ARS Algarve;153651;545657;649;923;32631;151646
2021-08;ARS Lisboa e Vale do Tejo;1137144;5089063;9424;13586;192651;1137934
2021-09;ARS Algarve;157060;591932;780;789;38738;166502
2021-10;ARS Centro;710068;2853603;4767;6896;176882;880033
2021-10;ARS Lisboa e Vale do Tejo;1460329;6354349;12900;19125;278538;1461713
2021-10;ARS Norte;1525665;5742458;8094;13081;220083;1654662
