Período;Região;Nº Total Receitas Prescritas Eletrónicas (Qt);Nº Embalagens Prescritas por DCI (CNPEM) (Qt);Nº Embalagens Prescritas por Marca por Exceção A (Qt);Nº Embalagens Prescritas por Marca por Exceção B (Qt);Nº Embalagens Prescritas por Marca por Exceção C (Qt);Nº Embalagens Prescritas Sem Necessidade de Justificação Técnica (Qt)
2021-12;ARS Algarve;137050;499974;611;552;32059;144094
2022-01;ARS Algarve;149861;577814;543;433;38352;167544
2022-01;ARS Lisboa e Vale do Tejo;1331918;6238511;11923;18886;278008;1408349
2022-04;ARS Alentejo;153013;614681;628;1069;28643;210945
2022-04;ARS Centro;643745;2659431;3865;7298;150454;811672
2022-04;ARS Lisboa e Vale do Tejo;1318629;5819069;11857;18049;250550;1300226
2022-05;ARS Algarve;178198;654974;762;447;39282;186597
2022-05;ARS Centro;744634;3088260;4586;7691;176894;949113
2022-06;ARS Lisboa e Vale do Tejo;1335572;6055124;11138;19919;263814;1358195
2022-07;ARS Algarve;169078;616402;646;448;33626;169296
2022-09;ARS Centro;709109;3034235;4060;7612;170106;938276
2022-09;ARS Lisboa e Vale do Tejo;1465680;6698804;12307;20647;290481;1502552
2022-10;ARS Alentejo;179563;740549;690;1236;28656;247518
2022-10;ARS Norte;1611200;6333753;7901;13540;212769;1752234
2022-12;ARS Norte;1501728;5422508;6955;12327;181555;1453356
2023-01;ARS Centro;786066;3326890;5023;7837;172167;981115
2023-01;ARS Norte;1696710;6751192;8569;13541;214284;1828672
2023-02;ARS Algarve;169315;630663;575;383;32784;164012
2023-03;ARS Alentejo;198994;822798;829;1061;29581;273933
2023-03;ARS Algarve;194838;730298;618;459;38713;192379
2023-04;ARS Centro;645614;2763580;3791;5459;140860;816731
2023-04;ARS Norte;1394857;5697024;6926;10436;170009;1543757
2023-05;ARS Algarve;189890;758427;700;620;37964;201674
2023-05;ARS Centro;781425;3475956;4864;6688;179632;1054293
2023-07;ARS Alentejo;160969;736602;713;957;29058;242557
2023-07;ARS Norte;1422421;5968409;7611;11223;192906;1583881
2023-08;ARS Centro;653863;2941513;3744;6670;132997;849617
2023-09;ARS Centro;691764;3240744;4367;6943;169789;956993
2023-09;ARS Norte;1494746;6537407;8543;11505;202266;1735010
2023-10;ARS Norte;1569196;6703870;8068;12039;201555;1793048
2023-11;ARS Norte;1606808;7281769;8413;12844;214775;1989364
2024-01;ARS Norte;1735033;8484209;8713;14683;231034;2221366
2024-02;ARS Centro;725414;3882003;3864;8369;183459;1136435
2024-04;ARS Lisboa e Vale do Tejo;1538855;8146176;14807;22651;278054;1838411
2024-05;ARS Alentejo;180703;939521;639;1337;31483;285433
2024-05;ARS Lisboa e Vale do Tejo;1562953;8275061;13236;24273;284376;1806751
2024-07;ARS Alentejo;169263;912067;676;1438;29337;287383
2024-07;ARS Algarve;189965;853001;701;641;34293;204634
2024-08;ARS Centro;622639;3142009;2088;6665;132508;852893
2024-09;ARS Norte;1461175;7094280;4631;12644;193630;1830691
2024-12;ARS Algarve;162494;735941;440;786;31613;161456
2024-12;ARS Centro;660488;3342531;1245;7878;149248;904031
2025-01;ARS Lisboa e Vale do Tejo;1600152;8941204;5576;20272;258591;1931164
2025-02;ARS Algarve;179650;881522;241;643;34743;203437
2025-02;ARS Lisboa e Vale do Tejo;1441505;8141669;4342;17733;236421;1663477
2025-03;ARS Algarve;180356;877885;265;840;34230;197795
2025-03;ARS Norte;1581823;7987340;2618;15424;207397;1902553
2025-05;ARS Lisboa e Vale do Tejo;1321733;7782733;4859;19383;225330;1537314
2025-07;ARS Algarve;192053;943318;333;804;35304;204439
2025-07;ARS Centro;712663;3977005;733;6658;165330;1041584
2025-07;ARS Lisboa e Vale do Tejo;1493271;8741567;4908;19009;244282;1763128
2025-09;ARS Centro;696378;3866712;605;7369;164400;1017318
2025-10;ARS Lisboa e Vale do Tejo;1598058;9247010;4548;19845;257996;1925066
2016-01;ARS Centro;1644589;2270739;4758;4905;254288;680483
2016-03;ARS Algarve;323569;439336;501;1223;40407;130261
2016-04;ARS Norte;2212856;3996206;9071;10703;297138;1271247
2016-08;ARS Alentejo;196073;527351;569;863;39398;166813
2016-08;ARS Norte;1529788;3586651;8220;9330;227250;1131320
2016-10;ARS Alentejo;203524;588681;754;900;42998;190406
2016-11;ARS Centro;823689;2386532;5956;3843;224940;740946
2016-12;ARS Norte;1479182;3646737;7793;11754;231858;1138251
2017-04;ARS Norte;1256753;3684004;7656;9216;226189;1169069
2017-05;ARS Algarve;162462;490316;548;1015;39764;146700
2017-05;ARS Norte;1475879;4481818;9842;9954;282445;1448686
2017-06;ARS Alentejo;171709;565384;566;746;40563;186028
2017-06;ARS Algarve;153260;458007;479;909;35889;137115
2017-06;ARS Norte;1337586;3890501;7948;9365;246802;1282263
2017-09;ARS Alentejo;175668;591456;645;1139;37736;197207
2017-09;ARS Algarve;150081;448445;713;739;35574;132413
2017-10;ARS Alentejo;186742;612447;661;926;38812;207411
2017-10;ARS Centro;758407;2514227;6780;4607;204030;780031
2017-10;ARS Norte;1557395;4773176;11125;10994;270809;1559134
2017-12;ARS Alentejo;163321;513784;638;930;31761;164394
2017-12;ARS Centro;640122;2037281;5508;4592;160752;609715
2018-01;ARS Lisboa e Vale do Tejo;1670077;6062311;15304;15885;274990;1382480
2018-03;ARS Centro;743052;2466505;5975;4733;198271;760794
2018-04;ARS Centro;692078;2299970;5344;4510;180238;706585
2018-05;ARS Centro;749765;2549327;6205;4996;200401;767939
2018-05;ARS Norte;1490259;4670727;10949;11644;253465;1479042
2018-06;ARS Centro;714365;2448452;5403;4344;191462;743854
2018-07;ARS Alentejo;178100;614389;633;1099;38745;203021
2018-07;ARS Lisboa e Vale do Tejo;1438841;5530864;13121;13088;259061;1294216
2018-08;ARS Algarve;164029;474080;581;1007;32993;136700
2018-09;ARS Alentejo;167751;587126;534;1202;35540;196326
2018-10;ARS Lisboa e Vale do Tejo;1612013;6090712;13825;14391;278020;1443621
2018-10;ARS Norte;1633005;5232933;10485;11284;266222;1678026
2019-01;ARS Algarve;183763;549304;704;671;42400;162694
2019-02;ARS Centro;729708;2459766;4832;6943;178370;748568
2019-03;ARS Algarve;165033;499018;714;634;40014;152395
2019-03;ARS Centro;729655;2502736;4955;5834;180672;759693
2019-03;ARS Lisboa e Vale do Tejo;1479347;5554128;12425;14052;243134;1297583
2019-04;ARS Centro;702991;2425262;4788;5666;170472;741347
2019-07;ARS Lisboa e Vale do Tejo;1550349;6233943;13715;14368;270070;1498916
2019-08;ARS Algarve;166649;512110;550;387;34523;145392
2019-08;ARS Lisboa e Vale do Tejo;1230831;4707289;7353;11109;166414;1089506
2019-09;ARS Norte;1467442;4999690;8534;10161;224106;1527188
2019-10;ARS Norte;1745790;5770085;9545;12013;253184;1821452
2019-11;ARS Alentejo;182809;647304;566;1074;37977;227259
2019-11;ARS Algarve;168817;534034;668;310;39099;165033
2019-12;ARS Alentejo;171471;569990;561;908;30570;194103
2020-01;ARS Alentejo;209592;727553;567;1490;37736;244035
2020-01;ARS Algarve;190682;603761;704;510;40997;174221
2020-01;ARS Lisboa e Vale do Tejo;1740871;6564776;12324;16311;275433;1501682
2020-01;ARS Norte;1743351;5724247;9234;14531;248328;1691176
2020-02;ARS Algarve;171982;537761;608;460;36954;157639
2020-02;ARS Lisboa e Vale do Tejo;1526800;5731164;12219;15304;239190;1300388
2020-04;ARS Algarve;124710;478620;546;252;22267;148567
2020-06;ARS Algarve;142270;517830;641;385;39841;156432
2020-06;ARS Centro;642734;2525134;4482;5197;172916;766978
2020-06;ARS Lisboa e Vale do Tejo;1255505;5423420;11647;13031;248723;1242219
2020-09;ARS Norte;1448882;5245945;8094;10381;227119;1513806
2020-10;ARS Norte;1530204;5380787;8462;10618;230158;1636186
2020-11;ARS Algarve;153188;540631;872;515;39431;165159
2020-11;ARS Norte;1356612;5041143;8107;10205;209857;1485317
2020-12;ARS Alentejo;140892;581185;680;1103;30448;195443
2021-01;ARS Lisboa e Vale do Tejo;1271046;5660830;12089;14933;256579;1288447
2021-01;ARS Norte;1305673;5192639;7278;10215;213022;1474941
2021-02;ARS Alentejo;141052;632546;588;1276;29248;211007
2021-02;ARS Algarve;134004;522624;577;1078;35675;148852
2021-02;ARS Lisboa e Vale do Tejo;1178632;5356646;10768;13444;238539;1237471
2021-04;ARS Centro;640958;2604250;4314;5997;169099;809960
2021-06;ARS Lisboa e Vale do Tejo;1256672;5507244;12227;17715;274971;1343316
2021-07;ARS Alentejo;155133;642841;644;1118;30838;222173
2021-09;ARS Norte;1435415;5646301;8532;12387;219618;1618070
2021-10;ARS Alentejo;170647;695925;831;1418;34494;245728
2021-11;ARS Alentejo;171627;695190;741;1474;35296;245914
2021-11;ARS Centro;742079;2991702;5384;7220;182731;931705
2021-12;ARS Alentejo;147783;604969;666;1314;28236;205620
2021-12;ARS Lisboa e Vale do Tejo;1250486;5481130;10065;18270;239165;1232730
2022-01;ARS Alentejo;156839;691039;666;1316;34256;235635
2022-02;ARS Alentejo;150836;657484;644;1177;33320;231286
2022-03;ARS Centro;753080;3136261;4661;8487;189460;966432
2022-03;ARS Lisboa e Vale do Tejo;1559666;6987412;14010;22245;305827;1586216
2022-06;ARS Alentejo;159031;674542;761;1284;32304;232763
2022-06;ARS Norte;1356771;5145054;6062;11030;196236;1480307
2022-07;ARS Norte;1427356;5664981;7855;11211;203221;1601880
2022-08;ARS Centro;641868;2702387;3184;7447;133300;810622
2022-09;ARS Algarve;169749;646067;445;562;36573;175940
2022-10;ARS Centro;740949;3092366;4617;8074;165669;935272
2022-11;ARS Algarve;187308;709573;715;559;38494;187612
2022-11;ARS Centro;793267;3302252;4678;7924;170527;981117
2022-12;ARS Algarve;159338;572208;738;480;30578;143258
2023-01;ARS Alentejo;189887;810900;691;1179;28836;262729
2023-01;ARS Algarve;189963;721752;654;367;39005;187097
2023-03;ARS Centro;790275;3332542;4748;6951;168207;1009548
2023-04;ARS Alentejo;159007;659582;578;941;25778;218110
2023-05;ARS Norte;1682343;6996260;8707;13461;216714;1922850
2023-06;ARS Alentejo;160012;730371;637;1179;24558;238218
2023-06;ARS Centro;655572;2890002;4445;5888;151083;888067
2023-08;ARS Alentejo;161993;742201;489;1141;25462;236805
2023-08;ARS Algarve;176507;656995;700;453;30541;165596
2023-12;ARS Norte;1422098;6399479;6527;12612;176168;1648880
2024-01;ARS Algarve;190069;904820;669;538;37703;219688
2024-01;ARS Centro;814065;4325486;4165;9270;194339;1236993
2024-02;ARS Lisboa e Vale do Tejo;1467777;8041994;13884;21348;269122;1770218
2024-03;ARS Alentejo;170110;957924;871;1900;29535;300526
2024-03;ARS Centro;731665;3783847;4136;8376;181244;1096736
2024-03;ARS Lisboa e Vale do Tejo;1484894;7838259;13435;21284;263012;1736175
2024-03;ARS Norte;1578897;7585237;8902;14212;206090;1980546
2024-04;ARS Algarve;188271;868908;630;700;36712;210545
2024-04;ARS Norte;1618852;7789745;8879;14003;208237;2063214
2024-05;ARS Centro;774413;3913188;3599;9087;189290;1099894
2024-06;ARS Alentejo;158715;816373;689;1224;27714;258991
2024-06;ARS Algarve;170421;765711;681;566;33369;182523
2024-06;ARS Lisboa e Vale do Tejo;1330195;7048409;11520;20204;245621;1540988
2024-09;ARS Lisboa e Vale do Tejo;1359906;7443463;9078;22017;259223;1649313
2024-10;ARS Algarve;189172;905881;807;648;38384;210390
2024-10;ARS Lisboa e Vale do Tejo;1574842;8782886;10747;25233;301737;1971280
2024-10;ARS Norte;1686088;8312774;5343;15030;227902;2179935
2024-11;ARS Centro;704007;3730803;1747;8600;174610;1044321
2024-11;ARS Lisboa e Vale do Tejo;1458625;7969926;7757;20189;260998;1699800
2025-01;ARS Algarve;198424;963797;292;946;35374;222447
2025-02;ARS Alentejo;166460;978695;213;1664;31719;283052
2025-02;ARS Centro;697289;3765798;607;8081;168260;1010773
2025-03;ARS Lisboa e Vale do Tejo;1464744;8211081;4198;17804;239089;1686958
2025-04;ARS Algarve;171083;843283;224;667;31843;183037
2025-05;ARS Centro;633809;3603739;563;6389;150185;936318
2025-06;ARS Alentejo;147690;819779;178;1481;26801;233021
2025-08;ARS Alentejo;142698;769063;122;1488;21490;217712
2025-08;ARS Algarve;169959;767981;358;717;26933;163681
2025-08;ARS Centro;588105;3142321;424;6015;119916;784003
2025-08;ARS Lisboa e Vale do Tejo;1150517;6325164;1996;13822;148527;1252437
2025-08;ARS Norte;1326726;6346951;1554;11324;135582;1473405
2025-09;ARS Lisboa e Vale do Tejo;1437957;8279898;3698;17534;223993;1690183
2025-09;ARS Norte;1583045;8003391;2270;15068;198513;1951210
2016-01;ARS Alentejo;394971;588379;694;1861;49585;174561
2016-01;ARS Lisboa e Vale do Tejo;3267256;5103404;12730;15068;337246;1131419
2016-02;ARS Centro;1534849;2139597;4830;4756;236550;636781
2016-03;ARS Alentejo;340884;599514;779;1151;51246;181909
2016-03;ARS Centro;1552102;2307853;5555;5431;251372;690449
2016-03;ARS Lisboa e Vale do Tejo;3275431;5263060;13322;15588;342258;1166611
2016-04;ARS Alentejo;265443;556385;780;832;47378;172698
2016-05;ARS Algarve;233496;414409;404;958;37842;121146
2016-05;ARS Norte;2054348;4077635;10057;10834;299689;1316207
2016-06;ARS Algarve;195352;391406;489;938;35668;113946
2016-07;ARS Centro;837719;2084749;5600;4302;207073;625938
2016-08;ARS Centro;771818;1976740;4374;3784;177264;587160
2016-09;ARS Alentejo;196843;566883;806;932;43407;183640
2016-09;ARS Norte;1671406;4273229;9957;11055;297745;1365743
2016-11;ARS Algarve;173553;446148;480;998;36627;131984
2016-11;ARS Norte;1623692;4326482;10819;12340;283718;1416561
2017-01;ARS Alentejo;214164;645725;686;1216;42358;198835
2017-01;ARS Lisboa e Vale do Tejo;1759155;5613865;12920;13909;301527;1226120
2017-05;ARS Alentejo;189087;620914;626;936;43390;204736
2017-06;ARS Centro;690389;2250895;5598;3321;199344;700348
2017-07;ARS Alentejo;167166;563614;626;785;38276;182950
2017-07;ARS Lisboa e Vale do Tejo;1349271;5125991;13547;10327;261461;1185391
2017-07;ARS Norte;1362985;4232148;9308;9096;253398;1338187
2017-08;ARS Algarve;159660;447852;566;900;33311;128752
2018-02;ARS Algarve;157587;458111;728;906;35666;135784
2018-02;ARS Centro;718402;2329603;5872;4802;176592;710744
2018-03;ARS Algarve;158679;467794;718;844;36969;144785
2018-03;ARS Norte;1494890;4647897;10292;12161;254470;1469557
2018-04;ARS Norte;1407390;4371749;9739;10790;233453;1384626
2018-05;ARS Algarve;164372;493966;815;1086;41541;149686
2018-07;ARS Algarve;166366;496354;616;1026;38422;149092
2018-10;ARS Alentejo;198838;675540;664;1278;41011;228500
2018-10;ARS Centro;797686;2774609;6088;5698;204576;853622
2018-12;ARS Alentejo;162129;534405;598;1143;30847;175578
2019-01;ARS Centro;847840;2870515;5482;7520;205269;858899
2019-01;ARS Norte;1716152;5409820;10201;13036;262035;1668951
2019-02;ARS Alentejo;184709;611510;696;1175;37141;208127
2019-03;ARS Norte;1494773;4803706;8499;10742;234163;1484165
2019-06;ARS Algarve;147394;464508;770;212;35276;143629
2019-06;ARS Lisboa e Vale do Tejo;1278021;4968892;10112;12454;213815;1181431
2019-07;ARS Norte;1557048;5318629;9630;11137;249749;1650205
2019-08;ARS Alentejo;163862;585333;447;1363;32692;195694
2019-09;ARS Alentejo;174324;643972;575;1006;34096;221576
2019-09;ARS Lisboa e Vale do Tejo;1450118;5637808;10838;12620;236394;1324990
2019-10;ARS Algarve;188520;597721;845;283;45300;188547
2019-10;ARS Centro;845157;2978106;5980;6000;200589;922191
2019-11;ARS Lisboa e Vale do Tejo;1565345;5909391;12677;14225;247107;1412496
2019-11;ARS Norte;1578667;5105240;9458;11333;227461;1605556
2019-12;ARS Centro;695540;2290263;4213;6236;146214;715267
2019-12;ARS Norte;1442564;4307898;7545;12449;200187;1323265
2020-01;ARS Centro;837367;2885841;5060;6206;180141;888720
2020-02;ARS Alentejo;183241;646134;676;1263;32954;215654
2020-03;ARS Centro;692518;2716910;4100;5831;162710;818811
2020-03;ARS Norte;1361034;5116581;7427;10670;197738;1531746
2020-04;ARS Alentejo;149711;629886;448;1085;23511;206226
2020-04;ARS Norte;1131723;4461355;6418;7610;131511;1343895
2020-05;ARS Alentejo;150973;595456;582;1102;29331;198934
2020-05;ARS Algarve;134289;492107;487;368;34711;148875
2020-05;ARS Norte;1211242;4569746;7638;8854;185008;1359250
2020-06;ARS Alentejo;157196;637687;680;1018;32891;210408
2020-06;ARS Norte;1257649;4617693;8445;9928;210801;1371493
2020-07;ARS Alentejo;165714;668896;775;1046;32644;222379
2020-07;ARS Norte;1428556;5383551;9518;10626;232249;1583477
2020-08;ARS Alentejo;149285;535237;424;915;24904;174796
2020-09;ARS Algarve;157466;539985;624;470;38172;150814
2020-10;ARS Algarve;164487;564521;745;467;39987;172175
2020-10;ARS Centro;737009;2780096;4799;6176;177164;876725
2020-12;ARS Centro;582063;2300656;3735;4952;149441;693956
2021-02;ARS Centro;585086;2499903;4119;4829;153116;750041
2021-03;ARS Lisboa e Vale do Tejo;1422267;6303984;13452;15865;294879;1478641
2021-05;ARS Norte;1375874;5239112;8145;12233;218151;1546244
2021-07;ARS Centro;653710;2693261;4751;6500;170787;817636
2021-08;ARS Centro;593517;2442971;3378;5997;136416;725376
2021-09;ARS Alentejo;157063;659863;618;1423;30918;229527
2021-11;ARS Lisboa e Vale do Tejo;1513436;6586641;14511;20207;291101;1515091
2021-11;ARS Norte;1579677;5954483;8665;13695;225446;1725699
2021-12;ARS Centro;617733;2476169;3949;6845;155906;747882
2021-12;ARS Norte;1315740;4865410;6382;11866;187063;1374973
2022-02;ARS Algarve;145014;553169;519;489;33146;155954
2022-02;ARS Centro;631157;2688750;4415;6464;163153;835987
2022-04;ARS Algarve;155325;572180;528;443;34331;158016
2022-04;ARS Norte;1382922;5366493;6865;11423;196068;1521188
2022-06;ARS Algarve;159624;590092;636;429;35524;166013
2022-07;ARS Lisboa e Vale do Tejo;1369884;6258046;12242;19137;266120;1404031
2022-08;ARS Alentejo;160497;682724;329;1197;26869;232555
2022-08;ARS Lisboa e Vale do Tejo;1263452;5653800;9615;16609;200830;1261695
2022-10;ARS Lisboa e Vale do Tejo;1545406;6871962;12771;22278;286219;1513906
2022-12;ARS Alentejo;169995;673973;656;1160;25386;214174
2023-01;ARS Lisboa e Vale do Tejo;1640421;7449862;13438;22298;297659;1585440
2023-02;ARS Centro;683450;2859221;3841;6765;147815;863990
2023-03;ARS Lisboa e Vale do Tejo;1662196;7577592;14322;23551;298824;1638972
2023-04;ARS Algarve;159795;609953;560;356;28705;157835
2023-09;ARS Alentejo;163822;766297;587;1215;28529;248042
2023-10;ARS Alentejo;171733;778990;645;1472;28617;255833
2023-11;ARS Alentejo;172868;923564;791;1531;32600;290924
2023-11;ARS Centro;732677;3557563;4273;7521;178621;1059190
2023-12;ARS Lisboa e Vale do Tejo;1361614;6840168;9826;20503;236692;1414059
2024-02;ARS Alentejo;164732;952542;892;1611;29803;304929
2024-02;ARS Algarve;176243;837547;663;512;36095;208587
2024-02;ARS Norte;1562361;7735645;7875;12463;204461;2019731
2024-04;ARS Alentejo;174877;945526;849;1516;30857;305712
2024-05;ARS Algarve;192782;879991;530;630;36879;208419
2024-05;ARS Norte;1640481;7759913;8017;14224;215202;1979623
2024-07;ARS Centro;720812;3716220;3176;8626;177796;1077457
2024-07;ARS Lisboa e Vale do Tejo;1474792;8057552;13198;22781;277173;1826085
2024-08;ARS Alentejo;149350;784016;581;1242;22787;246585
2024-08;ARS Lisboa e Vale do Tejo;1183702;6217574;7238;16318;176916;1328930
2024-09;ARS Alentejo;155531;1050038;782;1408;28687;290890
2024-09;ARS Centro;670926;3535248;2142;7437;171864;1003672
2024-12;ARS Norte;1496199;6684409;3303;14056;182310;1656574
2025-01;ARS Alentejo;185903;1055945;314;1955;40118;331417
2025-01;ARS Centro;780984;4168615;1006;8095;182725;1148969
2025-04;ARS Centro;655748;3653605;701;6741;152916;954653
2025-05;ARS Alentejo;153355;885683;149;1678;26116;251069
2025-07;ARS Alentejo;165178;931368;142;1144;28893;271892
2025-10;ARS Algarve;191085;953334;360;809;36529;216002
